"file","has_flag","dangerous","strict_violation"
".github/workflows/auto-fix-workflows.yml","true","false","false"
".github/workflows/azure-deploy.yml","true","false","false"
".github/workflows/ci-audit-generate.yml","true","false","false"
".github/workflows/ci-basic.yml","true","false","false"
".github/workflows/ci-extended.yml","true","false","false"
".github/workflows/ci.yml","true","false","false"
".github/workflows/codeql-analysis.yml","true","false","false"
".github/workflows/coverage-analysis.yml","true","false","false"
".github/workflows/dependency-monitor.yml","true","false","false"
".github/workflows/diagnose-ci-failures.yml","true","false","false"
".github/workflows/econeura-test.yml","true","false","false"
".github/workflows/integration-tests-with-compose.yml","true","false","false"
".github/workflows/k6-smoke.yml","true","false","false"
".github/workflows/license-compliance.yml","true","false","false"
".github/workflows/load-testing.yml","true","false","false"
".github/workflows/mandatory-approval-gate.yml","true","false","false"
".github/workflows/openapi-validation.yml","true","false","false"
".github/workflows/scan-econeura.yml","true","false","false"
".github/workflows/security-approval.yml","true","false","false"
".github/workflows/test-minimal.yml","true","false","false"